"Afghanistan" "62.9" "33.7"
"Albania" "76.8" "18.6"
"Algeria" "77.1" "10.6"
"Angola" "61.9" "13.7"
"Antigua and Barbuda" "79.2" "2"
"Argentina" "76.1" "6.6"
"Armenia" "73.4" "10.4"
"Australia" "83.2" "2.7"
"Austria" "81.1" "1.4"
"Azerbaijan" "73.5" "4.6"
"Bahamas, The" "74.4" "0.4"
"Bahrain" "79.2" "0.3"
"Bangladesh" "73.7" "11.2"
"Barbados" "77.7" "1.4"
"Belarus" "73.1" "8"
"Belgium" "81.7" "0.6"
"Belize" "71" "7.8"
"Benin" "60" "26.9"
"Bermuda" "81.6" "0.2"
"Bhutan" "72.2" "14.7"
"Bolivia" "64.9" "12.5"
"Bosnia and Herzegovina" "75.3" "4.8"
"Botswana" "65.9" "1.6"
"Brazil" "73.4" "5.8"
"Brunei Darussalam" "74.6" "1.1"
"Bulgaria" "74.4" "3.9"
"Burkina Faso" "59.8" "18.5"
"Burundi" "62" "27.6"
"Cabo Verde" "74.7" "4.7"
"Cambodia" "69.9" "22.2"
"Cameroon" "61" "17"
"Central African Republic" "54.5" "36.2"
"Chad" "53" "23"
"Channel Islands" "81.6" "0.8"
"Chile" "79.5" "3.5"
"China" "78.6" "7.3"
"Colombia" "73.7" "8.9"
"Comoros" "63.7" "36.4"
"Congo, Dem. Rep." "59.7" "17.7"
"Congo, Rep." "63.1" "8"
"Costa Rica" "77.3" "4.1"
"Cote d'Ivoire" "58.9" "15.8"
"Croatia" "77.6" "3.1"
"Cuba" "78.2" "0.8"
"Cyprus" "81.9" "1.6"
"Czechia" "79" "1.9"
"Denmark" "81.3" "1.2"
"Djibouti" "62.9" "1.8"
"Dominica" "73" "15.8"
"Dominican Republic" "74.2" "5.8"
"Ecuador" "77.9" "7.2"
"Egypt, Arab Rep." "70.2" "10.9"
"El Salvador" "71.5" "4.7"
"Equatorial Guinea" "61.2" "2.5"
"Estonia" "77.9" "2.5"
"Ethiopia" "65.6" "37.6"
"Faroe Islands" "83.3" "18.7"
"Fiji" "68.3" "12.6"
"Finland" "81.2" "2.4"
"France" "82.2" "1.9"
"Gabon" "65.7" "5.6"
"Gambia, The" "62.9" "24.4"
"Georgia" "71.6" "6.6"
"Germany" "80.7" "0.9"
"Ghana" "63.9" "19.5"
"Greece" "80.6" "3.8"
"Grenada" "75.3" "4.1"
"Guatemala" "68.7" "9.3"
"Guinea" "59" "27.3"
"Guinea-Bissau" "59.9" "33.6"
"Guyana" "66" "10"
"Haiti" "63.7" "20.3"
"Honduras" "70.7" "12.5"
"Hong Kong SAR, China" "83.7" "0.1"
"Hungary" "76" "3.1"
"Iceland" "82.2" "4.2"
"India" "67.7" "16.6"
"Indonesia" "68.3" "12.4"
"Iran, Islamic Rep." "74.6" "12.8"
"Iraq" "71.3" "1.6"
"Ireland" "83.1" "1.1"
"Italy" "82.9" "1.9"
"Jamaica" "70.6" "8.1"
"Japan" "84" "1"
"Jordan" "74.2" "4.8"
"Kazakhstan" "74.4" "5.2"
"Kenya" "62.1" "21.2"
"Korea, Rep." "82.7" "1.6"
"Kosovo" "79.5" "7.4"
"Kuwait" "80.3" "0.4"
"Kyrgyz Republic" "72" "11"
"Lao PDR" "69" "14.9"
"Latvia" "74.6" "5"
"Lebanon" "74.4" "1.2"
"Lesotho" "53" "6.1"
"Liberia" "61.1" "36.2"
"Libya" "72.2" "1.3"
"Lithuania" "75.8" "4"
"Luxembourg" "83" "0.2"
"North Macedonia" "74.4" "7.4"
"Madagascar" "65.2" "21.9"
"Malawi" "62.9" "21.8"
"Malaysia" "76.3" "8.9"
"Maldives" "80.8" "4.9"
"Mali" "59.4" "35.8"
"Malta" "82.7" "0.8"
"Marshall Islands" "65.1" "20.6"
"Mauritania" "64.7" "21.9"
"Mauritius" "73.5" "3.6"
"Mexico" "74.8" "3.9"
"Micronesia, Fed. Sts." "70.9" "22.5"
"Moldova" "68.6" "8.3"
"Mongolia" "72.7" "13"
"Montenegro" "76.2" "6"
"Morocco" "75" "10.3"
"Mozambique" "59.6" "26.7"
"Myanmar" "67.3" "22.3"
"Namibia" "58.1" "8.8"
"Nepal" "70.5" "20.9"
"Netherlands" "81.7" "1.5"
"Nicaragua" "74.6" "16.5"
"Niger" "62.1" "41.4"
